 	Area	Mean	Min	Max	Median
208	1.817	1283.007	1129	1426	1284
209	1.825	1522.222	1300	1727	1522
210	1.711	1543.637	1354	1814	1540
211	1.504	1251.941	1063	1408	1254
212	1.732	1444.141	1299	1622	1445
213	3.735	8488.557	3540	19371	7308
214	2.391	6023.366	1961	10174	5724
215	1.614	2075.741	1730	2398	2080
216	2.134	1596.483	1347	1888	1591
217	2.818	1781.777	1344	2137	1809
218	2.843	1506.626	1306	1885	1494
219	1.635	1269.602	1103	1413	1269
220	1.872	10000.422	3125	15383	10664
221	3.148	1511.783	1255	1720	1517
222	3.076	1579.595	1291	2408	1538
223	1.715	5085.872	2834	7958	4857
224	2.277	1806.911	1543	2061	1808
225	1.834	1315.744	1172	1491	1316
226	1.969	4337.311	2447	5670	4512
227	1.128	1884.846	1618	2107	1886
228	0.592	1320.193	1166	1450	1322
