 	Area	Mean	Min	Max	Median
184	1.770	3465.356	3048	4236	3404
185	1.694	12360.681	5283	16933	13180
186	2.290	3740.352	3187	4484	3698
187	2.015	2979.556	2739	3283	2982
188	3.608	2970.307	2684	3220	2974
189	1.914	2951.949	2691	3188	2953
190	1.605	3242.913	2983	3576	3241
191	2.472	3334.038	2948	3924	3288
192	2.945	2928.879	2681	3181	2932
193	1.377	3007.248	2769	3247	3008
194	3.067	2932.631	2591	3187	2934
195	2.036	3479.411	3126	3787	3477
196	2.632	5310.212	3401	6506	5460
197	2.231	3247.373	2864	4041	3194
198	2.586	2886.879	2644	3116	2888
199	2.886	3173.536	2852	3553	3168
200	2.007	4588.493	3576	5945	4418
201	3.304	2981.529	2729	3296	2981
202	2.053	3736.014	3275	4265	3751
203	3.173	3044.688	2723	3352	3044
204	4.111	3060.832	2769	3431	3059
205	1.508	3225.868	2915	3497	3231
206	3.190	2949.481	2703	3203	2949
207	2.531	2928.195	2679	3174	2926
208	1.817	2838.374	2532	3092	2837
209	1.825	3003.250	2754	3228	3007
210	1.711	2885.136	2605	3134	2881
211	1.504	2808.121	2563	3050	2814
212	1.732	2962.661	2706	3214	2965
213	3.735	5415.569	3489	9662	4842
214	2.391	3828.300	2868	4698	3915
215	1.614	3352.353	2955	3765	3350
216	2.134	2936.927	2658	3190	2932
217	2.818	3054.420	2743	3375	3054
218	2.843	2937.539	2700	3183	2934
219	1.635	2826.341	2559	3011	2830
220	1.872	10636.095	4285	16149	10998
221	3.148	2864.630	2609	3115	2862
222	3.076	2926.435	2685	3176	2930
223	1.715	8548.485	4992	13686	8151
224	2.277	3252.770	2924	3559	3253
225	1.834	2883.871	2604	3131	2882
226	1.969	3435.848	3137	3736	3435
227	1.128	3702.850	3288	4136	3694
228	0.592	2855.486	2590	3053	2864
